run_id,condition,bot,replication,machine,session,K,ecart,reference_recite,ev_pi_hat,ev_br,ev_realisee,actions_par_defaut,relances,erreurs_harnais,n_flags_deobf,n_flags_recitation,ecritures_intra_serie,plateau_declare,cout_tokens_in,cout_tokens_out,cout_tokens_cache_lus,cout_tokens_cache_ecrits
AE-station-r2,AE,Station,2,victus,0,150,0.2224912167440903,-0.11138010563297919,0.11084211658924302,0.3333333333333333,0.09333333333333334,0,0,0,1,1,0,False,456,63802,0,243550
AE-station-r2,AE,Station,2,victus,1,150,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.44,0,0,0,1,0,0,False,456,20665,0,280607
AE-station-r2,AE,Station,2,victus,2,150,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3466666666666667,0,0,0,0,0,0,False,456,18000,0,270104
AE-station-r2,AE,Station,2,victus,3,150,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.31333333333333335,0,0,0,1,1,0,False,456,22296,0,277745
AE-station-r2,AE,Station,2,victus,4,150,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.4533333333333333,0,0,0,2,0,0,False,456,23472,0,277898
AE-station-r2,AE,Station,2,victus,5,150,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.4,0,0,0,1,0,0,False,456,24538,0,270107
AE-station-r2,AE,Station,2,victus,6,150,0.013986013986013986,0.09712509712509712,0.31934731934731936,0.3333333333333333,0.25333333333333335,0,0,0,1,0,0,False,459,27932,0,270402
AE-station-r2,AE,Station,2,victus,7,150,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.34,0,0,0,0,0,0,True,456,20511,0,274597
AE-station-r2,AE,Station,2,victus,8,150,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.41333333333333333,0,0,0,0,0,0,True,456,21221,0,268451
AE-station-r2,AE,Station,2,victus,9,150,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5066666666666667,0,0,0,2,0,0,True,459,20544,0,268006
